NU_ANO_CENSO;SG_UF;NO_MUNICIPIO;TP_DEPENDENCIA;QT_MAT_BAS;QT_DOC_BAS;IN_AGUA_FILTRADA;IN_BIBLIOTECA;IN_INTERNET;COLUNA_OBSOLETA
2023;SP;Salvador;3;1430;57;1;0;0;
2023;RS;Salvador;2;;87;1;0;0;
2023;PE;Salvador;2;;;0;1;1;
2023;RJ;Belo Horizonte;1;;106;1;1;1;
2023;SP;Campinas;2;;64;1;0;0;
2023;MG;São Paulo;1;909;10;1;0;0;
2023;RJ;Belo Horizonte;3;572;;0;0;1;
2023;RJ;Recife;3;;;1;0;1;
2023;SP;Porto Alegre;3;1404;;1;0;1;
2023;RS;Salvador;2;701;89;1;1;0;
2023;CE;Salvador;3;834;85;1;0;1;
2023;RS;Campinas;3;604;104;0;1;1;
2023;RS;Porto Alegre;3;;82;1;0;0;
2023;PE;Recife;1;663;109;1;1;1;
2023;MG;Porto Alegre;2;;84;1;1;1;
2023;PE;Rio de Janeiro;2;;23;1;1;1;
2023;RJ;Belo Horizonte;3;385;69;1;0;1;
2023;BA;Campinas;2;1147;116;1;1;0;
2023;RS;Salvador;2;482;99;1;0;1;
2023;BA;Campinas;4;926;8;1;1;0;
2023;BA;Salvador;2;;112;1;0;1;
2023;PE;Salvador;1;;90;1;0;0;
2023;CE;Salvador;4;615;42;1;1;1;
2023;RS;Rio de Janeiro;3;1157;7;1;1;1;
2023;SP;Porto Alegre;4;1282;71;1;0;0;
2023;BA;Porto Alegre;2;;70;0;1;1;
2023;BA;Salvador;2;1135;7;1;1;0;
2023;RJ;Belo Horizonte;3;1238;8;1;0;1;
2023;RS;Campinas;2;;107;1;0;1;
2023;RS;Belo Horizonte;4;223;37;1;0;1;
2023;RS;Porto Alegre;1;1471;64;0;1;0;
2023;BA;São Paulo;2;394;88;1;1;1;
2023;PE;Salvador;2;1351;71;1;1;0;
2023;SP;São Paulo;2;;16;1;0;1;
2023;PE;Porto Alegre;2;239;7;1;0;1;
2023;BA;Recife;3;;107;1;1;1;
2023;BA;Porto Alegre;3;1099;;1;0;1;
2023;RJ;Salvador;3;;77;1;0;1;
2023;SP;Campinas;3;;;0;0;1;
2023;MG;Rio de Janeiro;4;91;61;1;0;1;
2023;RJ;Rio de Janeiro;4;838;40;1;1;0;
2023;CE;Belo Horizonte;4;258;83;1;1;0;
2023;PE;Porto Alegre;2;257;34;1;0;1;
2023;BA;Porto Alegre;2;976;36;1;1;0;
2023;MG;Rio de Janeiro;4;1353;68;1;0;0;
2023;MG;Porto Alegre;3;1145;117;0;0;1;
2023;RJ;Recife;2;501;6;1;1;1;
2023;BA;Belo Horizonte;4;109;18;1;1;1;
2023;SP;Salvador;1;257;19;1;1;1;
2023;RJ;Belo Horizonte;4;248;;1;1;1;
2023;CE;Campinas;4;1185;;1;1;1;
2023;CE;São Paulo;4;;106;0;0;1;
2023;BA;São Paulo;2;769;100;1;1;1;
2023;SP;Belo Horizonte;4;72;114;1;0;1;
2023;CE;São Paulo;2;1347;15;1;0;1;
2023;RS;Salvador;2;908;37;1;0;1;
2023;CE;Porto Alegre;3;;50;0;;1;
2023;RS;Belo Horizonte;3;1356;20;1;1;1;
2023;CE;Rio de Janeiro;3;977;79;1;1;1;
2023;SP;Belo Horizonte;2;140;;1;0;1;
2023;BA;Belo Horizonte;2;;5;1;1;1;
2023;BA;São Paulo;3;1148;71;1;1;1;
2023;SP;Recife;3;1256;116;1;;1;
2023;RJ;Rio de Janeiro;4;1190;;0;1;0;
2023;RS;Campinas;3;149;13;1;1;0;
2023;CE;São Paulo;3;;29;1;0;1;
2023;SP;São Paulo;2;;14;1;0;0;
2023;MG;Belo Horizonte;2;;73;1;0;1;
2023;MG;Campinas;2;566;92;1;1;1;
2023;SP;Porto Alegre;3;1326;41;1;0;1;
2023;PE;São Paulo;4;360;39;1;0;0;
2023;CE;Rio de Janeiro;1;697;41;1;0;0;
2023;MG;Porto Alegre;2;1156;;1;1;1;
2023;RS;Recife;2;734;74;1;1;1;
2023;BA;São Paulo;3;750;116;1;1;1;
2023;SP;Porto Alegre;3;;;1;0;1;
2023;BA;São Paulo;3;1371;115;1;1;1;
2023;PE;São Paulo;2;1130;65;1;1;0;
2023;RJ;Recife;2;915;110;1;1;1;
2023;RS;Salvador;3;1052;38;1;0;1;
2023;CE;Campinas;3;432;15;1;1;0;
2023;RJ;Recife;4;644;93;1;1;0;
2023;RS;Salvador;2;693;58;1;0;1;
2023;CE;Salvador;4;512;38;1;1;1;
2023;BA;Salvador;3;;103;1;1;1;
2023;CE;Salvador;3;;5;1;0;0;
2023;SP;Recife;1;;61;1;1;0;
2023;SP;Campinas;1;;69;1;0;1;
2023;SP;Belo Horizonte;2;;;1;1;1;
2023;SP;Porto Alegre;2;;44;1;1;1;
2023;MG;Recife;3;141;;0;1;1;
2023;RS;Recife;4;;7;0;0;1;
2023;RS;São Paulo;3;439;;1;0;0;
2023;RJ;Salvador;4;327;109;1;0;1;
2023;BA;Recife;2;582;74;0;1;1;
2023;CE;Recife;3;;;1;1;0;
2023;PE;Porto Alegre;3;820;38;1;0;0;
2023;PE;Recife;3;406;6;1;0;0;
2023;RJ;Campinas;2;1118;33;0;0;1;
2023;BA;São Paulo;4;1375;20;1;1;1;
2023;RS;São Paulo;4;527;34;1;1;0;
2023;MG;Porto Alegre;2;;64;1;1;1;
2023;SP;Campinas;3;;56;1;1;1;
2023;RS;Belo Horizonte;2;503;;1;0;0;
2023;PE;Belo Horizonte;2;1490;;1;1;0;
2023;CE;Rio de Janeiro;1;;20;1;0;1;
2023;SP;Salvador;4;1392;;0;1;1;
2023;MG;Porto Alegre;4;;27;1;1;1;
2023;RS;Campinas;3;;;1;1;1;
2023;CE;Campinas;4;;;1;0;1;
2023;MG;Campinas;4;;108;0;0;1;
2023;BA;Rio de Janeiro;1;74;51;1;1;0;
2023;CE;Rio de Janeiro;2;194;86;1;0;0;
2023;BA;Rio de Janeiro;1;1006;16;1;1;0;
2023;BA;São Paulo;3;148;48;1;0;1;
2023;BA;Salvador;4;1001;18;1;0;1;
2023;CE;São Paulo;4;991;;1;1;1;
2023;PE;São Paulo;2;846;69;1;1;1;
2023;SP;Porto Alegre;4;559;78;1;0;1;
2023;PE;Porto Alegre;3;231;19;1;;1;
2023;RS;Recife;2;75;114;1;0;1;
2023;RJ;Belo Horizonte;2;1070;71;1;0;0;
2023;BA;Recife;2;;107;1;1;1;
2023;MG;São Paulo;2;1481;52;0;1;0;
2023;PE;Rio de Janeiro;2;1363;49;0;1;0;
2023;PE;Rio de Janeiro;3;1094;;0;1;0;
2023;CE;São Paulo;2;;39;1;1;1;
2023;RS;Belo Horizonte;2;420;12;1;1;1;
2023;PE;Rio de Janeiro;2;718;24;1;;0;
2023;SP;Belo Horizonte;2;637;57;1;0;1;
2023;SP;São Paulo;2;;;1;1;1;
2023;MG;São Paulo;3;813;59;1;0;1;
2023;SP;Salvador;2;1366;;1;0;1;
2023;PE;Recife;2;635;38;1;1;1;
2023;PE;Porto Alegre;2;191;11;1;1;1;
2023;PE;Recife;1;1363;69;1;0;1;
2023;MG;Campinas;2;521;32;1;0;0;
2023;RJ;Campinas;2;671;38;0;;1;
2023;RJ;Salvador;4;945;100;0;1;1;
2023;RS;Recife;4;;32;1;0;1;
2023;PE;Belo Horizonte;2;1378;54;1;1;1;
2023;SP;Belo Horizonte;2;107;67;1;1;1;
2023;RS;São Paulo;3;681;;1;0;1;
2023;PE;Porto Alegre;2;922;83;1;1;1;
2023;RJ;Belo Horizonte;3;276;70;1;1;0;
2023;PE;Belo Horizonte;3;868;;1;0;0;
2023;RJ;Salvador;2;1420;47;0;1;1;
2023;BA;Salvador;1;1045;53;1;1;1;
2023;RS;Rio de Janeiro;3;1376;49;1;1;1;
2023;MG;Recife;3;1411;;1;0;0;
2023;BA;Salvador;2;192;;0;1;1;
2023;RS;Campinas;2;;10;0;1;1;
2023;CE;Belo Horizonte;2;114;45;1;1;1;
2023;BA;Salvador;1;277;115;1;0;1;
2023;BA;São Paulo;4;624;;1;0;1;
2023;MG;Rio de Janeiro;3;977;29;1;1;0;
2023;MG;Campinas;2;388;101;1;1;0;
2023;MG;Campinas;3;604;37;0;0;1;
2023;MG;Belo Horizonte;4;470;;1;1;1;
2023;CE;Campinas;4;257;86;1;0;1;
2023;CE;Belo Horizonte;4;;55;1;0;1;
2023;PE;Belo Horizonte;3;859;52;0;1;1;
2023;RS;Belo Horizonte;3;784;;0;0;1;
2023;RJ;Campinas;3;864;50;1;1;1;
2023;SP;Recife;3;977;13;1;1;0;
2023;CE;Belo Horizonte;3;1120;34;1;0;1;
2023;RS;Campinas;2;1079;107;1;1;0;
2023;SP;Salvador;2;953;52;1;0;1;
2023;PE;Belo Horizonte;1;1206;45;0;0;0;
2023;RS;São Paulo;2;446;;1;0;1;
2023;RJ;Campinas;4;;70;1;1;0;
2023;PE;Salvador;2;1404;65;1;1;1;
2023;BA;Belo Horizonte;3;;;1;1;1;
2023;MG;Rio de Janeiro;2;319;58;1;1;1;
2023;RJ;Campinas;2;643;93;1;1;1;
2023;SP;Belo Horizonte;2;205;55;0;1;1;
2023;BA;São Paulo;2;1436;96;1;0;0;
2023;MG;Salvador;3;;62;1;;1;
2023;BA;São Paulo;2;1269;53;0;0;1;
2023;BA;Rio de Janeiro;3;1413;;0;1;1;
2023;MG;Campinas;2;1495;78;1;0;1;
2023;PE;Rio de Janeiro;2;;41;1;0;1;
2023;PE;Rio de Janeiro;3;;6;0;0;1;
2023;CE;Campinas;2;1025;73;1;1;1;
2023;MG;Campinas;2;1416;69;1;1;0;
2023;PE;Porto Alegre;1;522;58;1;1;0;
2023;PE;Belo Horizonte;3;;59;1;;0;
2023;MG;São Paulo;3;;54;1;1;1;
2023;RS;Rio de Janeiro;1;823;80;1;0;1;
2023;RJ;São Paulo;3;1272;31;0;0;1;
2023;MG;Campinas;2;1364;84;1;1;1;
2023;SP;Rio de Janeiro;4;378;57;1;0;0;
2023;CE;Belo Horizonte;2;355;49;1;1;1;
2023;RJ;São Paulo;3;145;42;1;1;0;
2023;SP;Belo Horizonte;4;1274;90;1;0;1;
2023;MG;Belo Horizonte;3;285;89;1;0;1;
2023;RS;Porto Alegre;4;1170;89;1;0;0;
2023;RJ;São Paulo;3;525;;1;0;1;
2023;MG;Salvador;1;957;24;1;1;1;
2023;SP;Recife;3;;27;1;1;1;
2023;RS;Rio de Janeiro;2;126;9;1;1;0;
2023;RJ;Rio de Janeiro;2;1140;;1;1;1;
2023;MG;São Paulo;3;470;12;1;0;0;
2023;BA;Recife;2;;95;1;0;0;
2023;SP;Rio de Janeiro;2;;17;1;0;0;
2023;SP;Campinas;1;;;1;1;1;
2023;RJ;Salvador;3;;95;1;1;0;
2023;BA;Belo Horizonte;2;181;;0;1;1;
2023;RS;São Paulo;2;;54;1;0;1;
2023;RS;Recife;3;1370;22;1;1;0;
2023;SP;São Paulo;4;397;77;1;0;0;
2023;CE;Campinas;2;1017;98;1;1;0;
2023;BA;Porto Alegre;3;1228;80;0;1;0;
2023;RJ;Campinas;4;1390;;1;0;1;
2023;RJ;São Paulo;2;706;;1;1;0;
2023;PE;São Paulo;4;286;119;0;1;1;
2023;PE;São Paulo;3;1050;11;1;1;0;
2023;RJ;Campinas;3;;;0;;1;
2023;CE;Belo Horizonte;2;586;80;1;0;1;
2023;PE;Salvador;1;1122;;1;0;1;
2023;RS;Recife;2;344;;1;0;1;
2023;SP;Recife;2;635;17;1;1;1;
2023;MG;Porto Alegre;3;175;12;1;;1;
2023;CE;Porto Alegre;3;1371;;1;1;1;
2023;MG;Rio de Janeiro;2;1008;26;1;0;0;
2023;RJ;Campinas;3;552;;1;1;1;
2023;MG;Rio de Janeiro;2;599;9;1;;1;
2023;BA;Recife;4;487;27;0;0;0;
2023;PE;Porto Alegre;2;1243;51;1;1;1;
2023;CE;Rio de Janeiro;4;312;94;0;0;1;
2023;CE;Salvador;2;489;42;1;1;1;
2023;BA;Rio de Janeiro;2;1262;39;1;1;1;
2023;PE;Porto Alegre;1;;98;1;0;1;
2023;RS;Porto Alegre;2;933;85;1;0;1;
2023;CE;Campinas;3;;;1;0;1;
2023;CE;Porto Alegre;3;;63;1;1;1;
2023;MG;Campinas;3;923;78;1;0;1;
2023;BA;Salvador;2;1164;99;0;1;1;
2023;PE;Campinas;3;569;80;1;0;1;
2023;PE;Salvador;2;1441;14;1;1;1;
2023;RS;São Paulo;3;598;67;1;1;1;
2023;RS;Belo Horizonte;4;1288;47;1;1;1;
2023;MG;São Paulo;1;;;1;1;0;
2023;RJ;Recife;2;;25;1;0;0;
2023;PE;Recife;3;1308;98;1;0;1;
2023;BA;Campinas;4;115;51;1;1;1;
2023;MG;Porto Alegre;3;845;17;1;0;1;
2023;PE;Belo Horizonte;3;984;103;1;1;0;
2023;MG;Rio de Janeiro;3;983;95;0;0;1;
2023;BA;Belo Horizonte;3;352;;0;;1;
2023;BA;Porto Alegre;2;1312;;1;0;1;
2023;RS;São Paulo;1;;103;1;0;1;
2023;SP;Salvador;1;149;46;1;;1;
2023;SP;Salvador;2;864;63;0;1;1;
2023;PE;São Paulo;2;;5;1;1;1;
2023;SP;Belo Horizonte;2;737;73;1;0;1;
2023;PE;São Paulo;1;299;22;1;0;1;
2023;RS;Porto Alegre;2;;101;1;1;1;
2023;RJ;São Paulo;3;;;1;1;0;
2023;RS;Salvador;3;1278;67;1;1;1;
2023;BA;Belo Horizonte;4;;91;1;1;1;
2023;RS;Belo Horizonte;2;284;111;1;1;1;
2023;SP;Porto Alegre;3;287;109;0;1;0;
2023;CE;Recife;3;795;102;0;1;0;
2023;CE;Rio de Janeiro;1;;69;1;0;1;
2023;RS;Campinas;2;584;105;1;0;0;
2023;PE;Porto Alegre;3;1010;;1;0;1;
2023;RJ;Belo Horizonte;2;1142;16;0;0;0;
2023;CE;Campinas;2;303;19;1;1;0;
2023;CE;Belo Horizonte;4;;115;1;1;1;
2023;SP;Salvador;4;;37;1;0;1;
2023;PE;Campinas;2;;73;0;1;1;
2023;RS;Campinas;2;1038;11;1;1;1;
2023;SP;Campinas;3;;25;1;1;1;
2023;RJ;Recife;1;749;108;0;;1;
2023;CE;Porto Alegre;4;;105;0;0;1;
2023;SP;Belo Horizonte;2;;;1;1;0;
2023;RJ;Porto Alegre;4;338;79;1;1;1;
2023;PE;Campinas;4;1137;23;1;0;1;
2023;RS;Belo Horizonte;1;218;27;1;1;1;
2023;MG;São Paulo;2;941;102;1;;1;
2023;RJ;Porto Alegre;2;;10;1;1;1;
2023;RS;Recife;2;938;44;0;;1;
2023;PE;Campinas;2;855;;1;1;1;
2023;RJ;São Paulo;3;594;119;1;0;1;
2023;PE;Rio de Janeiro;2;542;18;1;0;0;
2023;RJ;São Paulo;3;;8;1;0;1;
2023;RJ;Recife;2;1231;101;1;1;1;
2023;RS;Rio de Janeiro;3;568;31;1;0;1;
2023;RJ;São Paulo;1;833;24;0;1;1;
2023;MG;Campinas;3;168;14;1;0;1;
2023;PE;Campinas;4;1499;105;1;1;1;
2023;CE;São Paulo;2;;98;0;1;0;
2023;CE;Salvador;2;1413;53;1;1;1;
2023;BA;Rio de Janeiro;2;;40;0;1;1;
2023;CE;Porto Alegre;3;1376;74;1;1;0;
2023;MG;Campinas;4;1234;42;1;0;1;
2023;CE;Rio de Janeiro;2;774;;0;0;1;
2023;MG;Rio de Janeiro;4;399;67;1;1;1;
2023;CE;Recife;3;921;58;1;1;1;
2023;BA;Recife;4;459;48;1;1;1;
2023;RJ;Recife;2;1022;98;1;0;1;
2023;SP;São Paulo;2;312;103;1;1;1;
2023;RJ;São Paulo;1;1148;22;1;1;1;
2023;MG;Porto Alegre;4;;42;1;1;1;
2023;MG;Recife;2;193;76;1;1;1;
2023;RJ;Salvador;1;;110;0;;0;
2023;MG;Porto Alegre;2;1421;68;1;1;1;
2023;RS;Campinas;2;579;49;1;0;1;
2023;MG;Rio de Janeiro;2;;22;0;1;1;
2023;CE;Belo Horizonte;2;707;32;1;1;1;
2023;PE;Salvador;3;685;28;1;0;0;
2023;BA;Rio de Janeiro;2;1387;;1;1;1;
2023;RS;Salvador;2;214;;1;;1;
2023;CE;Campinas;2;;51;1;1;1;
2023;CE;São Paulo;3;1396;62;1;1;1;
2023;RJ;Porto Alegre;4;143;44;1;1;0;
2023;RS;Rio de Janeiro;2;;;1;0;1;
2023;RS;Recife;1;637;14;1;1;1;
2023;MG;Campinas;2;844;103;1;1;1;
2023;MG;Campinas;4;;51;0;1;1;
2023;PE;São Paulo;2;603;69;1;0;0;
2023;CE;Campinas;2;754;104;1;1;1;
2023;MG;Rio de Janeiro;2;587;7;1;1;1;
2023;SP;Porto Alegre;4;1067;40;1;;1;
2023;SP;São Paulo;2;202;44;1;1;1;
2023;RJ;Belo Horizonte;3;386;48;1;0;1;
2023;MG;Porto Alegre;2;1146;36;1;0;1;
2023;MG;Salvador;2;1487;85;1;0;1;
2023;BA;Porto Alegre;1;371;106;1;1;0;
2023;BA;São Paulo;2;1282;53;1;0;0;
2023;SP;Belo Horizonte;1;1332;92;1;1;0;
2023;MG;Campinas;2;909;81;0;1;1;
2023;CE;Campinas;4;1080;63;1;0;1;
2023;SP;Campinas;3;780;;1;0;1;
2023;BA;Porto Alegre;4;1239;62;1;1;0;
2023;CE;Belo Horizonte;2;993;;1;1;1;
2023;CE;Belo Horizonte;3;;113;1;1;0;
2023;RS;Rio de Janeiro;2;;111;1;0;0;
2023;RS;Porto Alegre;3;;97;1;1;1;
2023;PE;Belo Horizonte;2;302;32;1;0;1;
2023;SP;São Paulo;4;929;;0;1;0;
2023;BA;Recife;2;443;8;0;1;1;
2023;RJ;São Paulo;2;;61;1;0;1;
2023;MG;Salvador;2;;15;1;1;0;
2023;BA;Rio de Janeiro;2;1108;70;0;1;1;
2023;BA;Porto Alegre;4;278;73;1;1;1;
2023;PE;Belo Horizonte;2;;19;0;1;0;
2023;BA;Recife;2;645;30;1;;1;
2023;BA;Campinas;3;131;;1;1;1;
2023;CE;Salvador;3;1057;24;1;0;1;
2023;RS;Porto Alegre;3;;32;1;0;1;
2023;CE;Rio de Janeiro;3;250;116;1;0;1;
2023;MG;Salvador;3;320;7;1;1;0;
2023;CE;São Paulo;2;;36;1;0;1;
2023;RJ;Campinas;4;537;108;1;0;0;
2023;RS;Salvador;2;;65;1;1;1;
2023;CE;Recife;3;1203;;1;1;1;
2023;BA;Recife;2;519;;1;0;0;
2023;BA;Campinas;4;1294;38;1;0;1;
2023;MG;Campinas;3;74;119;0;1;0;
2023;MG;São Paulo;2;;;0;1;1;
2023;BA;Campinas;4;65;61;1;0;1;
2023;PE;Recife;3;476;101;1;;1;
2023;CE;Belo Horizonte;3;;74;1;0;1;
2023;RJ;São Paulo;1;1323;41;0;0;1;
2023;RS;Porto Alegre;2;938;;1;1;1;
2023;BA;Porto Alegre;3;306;71;0;0;1;
2023;RS;Belo Horizonte;2;725;109;1;0;1;
2023;RJ;São Paulo;4;;116;1;1;0;
2023;BA;São Paulo;4;934;55;1;1;1;
2023;BA;São Paulo;3;75;;1;1;1;
2023;RS;Campinas;2;710;101;1;0;1;
2023;RS;Belo Horizonte;2;765;113;1;1;1;
2023;RJ;São Paulo;3;477;49;1;0;1;
2023;PE;Recife;3;;45;1;1;0;
2023;MG;Campinas;2;;86;1;0;0;
2023;RJ;Belo Horizonte;3;726;43;0;1;0;
2023;MG;São Paulo;2;105;97;1;1;0;
2023;PE;Porto Alegre;2;;62;0;1;1;
2023;PE;Belo Horizonte;2;1046;9;0;0;1;
2023;RS;São Paulo;4;1365;70;0;1;1;
2023;BA;Rio de Janeiro;3;;;1;1;1;
2023;MG;São Paulo;3;533;108;1;1;1;
2023;BA;São Paulo;3;853;94;1;0;0;
2023;PE;Campinas;2;629;;1;1;1;
2023;BA;Recife;2;1002;25;1;0;1;
2023;SP;Recife;3;272;61;1;1;1;
2023;PE;Porto Alegre;3;256;;0;1;1;
2023;RS;Salvador;4;155;95;1;0;1;
2023;PE;Porto Alegre;1;744;112;1;0;1;
2023;PE;Porto Alegre;1;429;114;1;1;1;
2023;MG;Porto Alegre;4;774;;1;1;0;
2023;CE;Belo Horizonte;2;1092;58;1;0;1;
2023;RJ;Porto Alegre;4;534;17;1;1;1;
2023;SP;Campinas;3;281;59;1;1;1;
2023;PE;São Paulo;2;892;;1;1;1;
2023;PE;Belo Horizonte;1;162;8055;0;1;1;
2023;SP;Campinas;2;321;;1;0;0;
2023;RJ;Rio de Janeiro;3;492;35;1;1;0;
2023;SP;Belo Horizonte;4;;65;1;0;1;
2023;RJ;Porto Alegre;2;1274;8;1;1;1;
2023;BA;São Paulo;3;1392;39;1;1;1;
2023;SP;Porto Alegre;2;;;1;1;1;
2023;MG;Belo Horizonte;3;1031;20;0;0;1;
2023;PE;Recife;2;365;114;1;0;1;
2023;RS;Belo Horizonte;4;192;26;1;1;1;
2023;PE;Rio de Janeiro;3;1317;79;1;1;1;
2023;MG;Recife;2;1037;;1;0;1;
2023;PE;Recife;1;209;86;1;1;1;
2023;RJ;Campinas;3;1014;48;1;1;0;
2023;CE;Porto Alegre;2;1463;12;1;0;0;
2023;BA;São Paulo;1;214;72;0;0;1;
2023;MG;Porto Alegre;2;180;97;1;0;1;
2023;MG;Rio de Janeiro;2;1325;82;1;1;1;
2023;CE;Rio de Janeiro;4;884;;1;0;1;
2023;BA;São Paulo;2;1186;17;1;0;0;
2023;BA;São Paulo;2;1152;;1;1;1;
2023;RJ;Campinas;2;790;28;1;0;1;
2023;SP;Recife;3;183;5;1;1;1;
2023;PE;Campinas;3;192;109;1;0;0;
2023;CE;Porto Alegre;2;484;84;1;1;1;
2023;CE;Campinas;4;58;87;1;1;1;
2023;MG;Recife;3;927;120;1;1;1;
2023;RS;Rio de Janeiro;2;232;77;1;0;1;
2023;RS;Recife;2;387;28;0;1;1;
2023;RS;São Paulo;4;1195;101;0;;1;
2023;RJ;Belo Horizonte;3;;42;1;0;1;
2023;MG;Campinas;2;;103;1;0;1;
2023;RJ;Rio de Janeiro;2;1175;88;1;0;1;
2023;BA;São Paulo;2;;21;0;1;0;
2023;CE;São Paulo;1;1387;117;1;0;1;
2023;SP;Recife;3;;84;1;0;0;
2023;RS;Recife;2;495;36;1;1;1;
2023;CE;Porto Alegre;1;1169;54;1;1;0;
2023;RS;Porto Alegre;4;687;29;1;0;0;
2023;MG;São Paulo;2;1315;57;1;1;1;
2023;BA;São Paulo;2;;79;1;0;0;
2023;SP;Salvador;4;1001;30;0;1;1;
2023;RS;Recife;2;487;37;0;1;1;
2023;BA;São Paulo;1;1281;;0;0;0;
2023;BA;Belo Horizonte;2;;51;1;1;0;
2023;CE;São Paulo;3;;34;1;0;1;
2023;BA;Belo Horizonte;3;;26;1;1;1;
2023;RJ;Recife;2;;100;1;1;1;
2023;SP;Rio de Janeiro;3;954;39;1;0;1;
2023;RJ;Recife;1;923;35;1;0;1;
2023;CE;São Paulo;2;893;64;1;0;0;
2023;SP;Rio de Janeiro;3;276;116;1;0;0;
2023;SP;Porto Alegre;1;623;45;1;1;1;
2023;SP;Campinas;2;651;;1;1;0;
2023;PE;Salvador;3;1339;;0;0;1;
2023;MG;Porto Alegre;4;807;15;1;0;0;
2023;RJ;Porto Alegre;1;876;20;0;0;1;
2023;RS;Campinas;3;;47;1;1;1;
2023;RJ;São Paulo;3;679;28;1;1;1;
2023;MG;Salvador;3;825;107;1;1;1;
2023;RS;Porto Alegre;4;1464;9;1;1;1;
2023;SP;Salvador;2;;;1;1;0;
2023;BA;Porto Alegre;3;395;;0;0;0;
2023;PE;Recife;4;1093;49;1;1;1;
2023;MG;Recife;3;759;23;0;1;0;
2023;MG;Campinas;2;;30;1;0;1;
2023;CE;Recife;2;;106;1;;0;
2023;SP;Campinas;2;501;6;0;1;1;
2023;CE;Recife;2;;89;1;1;1;
2023;MG;São Paulo;3;1393;38;0;0;1;
2023;CE;Salvador;3;112;67;1;;0;
2023;PE;Belo Horizonte;1;;32;1;1;1;
2023;RS;São Paulo;3;596;30;1;1;0;
2023;RJ;Recife;4;366;;1;0;1;
2023;CE;Campinas;2;966;24;1;1;1;
2023;RJ;Salvador;2;;27;1;0;0;
2023;RJ;Campinas;2;719;50;0;1;1;
2023;CE;São Paulo;2;1117;95;1;1;1;
2023;RS;Recife;3;599;91;0;0;0;
2023;MG;Rio de Janeiro;2;1365;34;1;0;0;
2023;RJ;Recife;2;500;;1;0;1;
2023;MG;Salvador;2;735;120;1;0;1;
2023;BA;São Paulo;2;1439;49;1;0;1;
2023;MG;Porto Alegre;1;;;1;1;1;
2023;MG;Recife;3;1205;42;1;1;0;
2023;BA;São Paulo;4;623;106;0;1;1;
2023;MG;Belo Horizonte;4;;33;1;1;1;
2023;SP;Porto Alegre;4;513;93;0;1;0;
2023;MG;Salvador;1;939;14;1;1;1;
2023;BA;Salvador;2;358;120;1;1;0;
2023;RS;Campinas;2;;79;1;0;0;
2023;BA;Recife;3;;120;1;0;1;
2023;MG;Porto Alegre;4;112;57;1;1;0;
2023;CE;Salvador;3;788;17;1;0;1;
2023;RS;Recife;2;969;92;1;0;1;
2023;BA;Recife;2;592;75;1;1;1;
