A,B,C,D,E
37,9,15,28,57
76,16,34,41,49
52,40,47,9,44
20,81,93,46,67
61,89,64,83,3
66,40,11,11,13
43,28,13,40,42
59,47,55,74,94
68,80,73,73,72
11,69,56,89,46
49,52,28,33,19
68,44,14,60,5
41,19,8,10,70
38,92,59,15,44
51,72,26,61,77
52,32,11,2,61
62,18,54,29,99
52,87,98,18,31
58,17,99,46,42
67,61,41,99,85
14,83,19,13,72
71,6,24,54,29
62,20,24,12,40
81,38,85,60,9
46,39,4,60,34
41,34,23,34,88
86,35,34,93,64
4,29,48,9,28
53,82,21,75,60
18,65,98,87,25
90,57,39,49,87
30,23,2,3,69
57,40,28,25,88
16,65,19,65,1
66,57,95,70,88
64,52,85,52,48
9,72,64,62,58
68,51,66,84,51
50,32,37,62,100
9,89,6,45,92
34,4,40,82,75
65,57,90,85,55
66,7,70,67,37
18,9,32,5,60
15,54,55,65,93
90,18,40,44,83
25,49,12,64,15
47,18,54,13,86
59,58,98,55,89
87,76,29,39,36
19,11,45,10,50
89,73,1,10,92
1,67,97,77,46
21,42,100,71,19
76,2,86,100,75
39,95,44,78,87
37,7,39,7,29
60,54,61,37,80
8,74,15,79,75
8,24,66,7,97
37,3,57,48,76
63,29,99,97,16
8,65,58,77,64
65,90,34,75,75
72,55,64,34,7
0,67,92,17,11
49,68,51,46,84
53,32,46,19,31
76,9,86,49,96
59,75,10,77,72
80,51,55,97,15
12,0,83,23,95
53,96,73,60,47
86,55,19,25,6
56,95,34,70,33
4,35,7,25,86
7,71,98,10,37
44,1,49,72,45
69,54,84,65,5
56,28,67,35,49
53,4,57,43,79
42,1,32,39,83
20,16,40,25,93
52,6,69,82,40
76,36,16,1,98
45,10,70,58,68
63,95,52,28,47
94,27,52,29,70
72,23,76,10,89
85,72,45,0,51
99,42,73,91,43
63,78,62,57,86
98,29,81,53,99
95,63,45,46,66
51,41,41,27,63
36,39,52,87,20
97,45,48,75,25
38,90,25,49,59
95,51,49,49,68
61,92,77,45,35
93,48,96,70,3
87,46,35,93,13
14,45,56,36,50
59,32,18,99,31
37,34,34,68,51
79,68,18,79,11
93,49,82,15,67
58,31,99,21,69
100,6,72,48,51
99,74,26,56,56
96,41,71,35,23
79,70,20,95,68
85,88,47,33,33
65,64,22,56,73
51,62,48,90,53
29,83,0,70,10
6,78,19,76,1
90,29,6,23,74
10,100,91,25,4
9,85,77,71,22
38,39,41,73,93
100,78,8,50,13
92,81,94,31,99
67,80,35,37,79
54,32,66,74,22
25,98,82,81,50
23,9,36,92,20
17,74,56,29,23
19,9,59,50,57
7,84,43,10,97
88,64,93,60,99
59,14,100,60,100
29,86,53,36,49
94,76,49,32,80
9,42,10,41,94
14,5,29,63,19
84,26,64,22,22
84,68,51,66,95
98,22,11,76,28
67,39,60,64,34
32,45,1,71,61
64,15,40,70,72
58,86,96,25,63
83,85,46,85,6
58,90,18,49,81
28,13,11,46,29
63,45,0,59,24
20,20,69,98,65
27,31,32,32,9
71,60,80,46,94
31,86,56,46,69
68,56,55,1,71
39,63,31,70,26
50,7,70,90,37
84,18,4,8,33
55,28,25,53,25
79,99,92,6,67
86,55,22,74,59
72,84,53,56,33
3,95,9,81,33
98,96,95,2,3
66,88,38,10,85
45,93,52,15,9
23,78,10,97,75
97,15,35,27,38
42,38,31,30,90
97,47,41,100,98
20,9,78,80,12
7,52,100,85,74
9,14,20,95,39
57,45,2,67,98
29,78,28,91,78
81,35,50,92,35
23,81,42,29,80
19,56,89,17,1
89,50,7,83,73
97,9,64,62,75
95,31,49,97,49
6,54,70,7,54
31,23,80,80,76
52,0,79,62,27
49,94,68,34,40
3,75,34,90,84
27,10,89,67,17
63,4,23,11,9
97,15,27,91,82
33,19,46,89,38
93,31,93,44,13
0,13,99,87,28
71,74,100,72,7
74,3,0,23,56
15,34,87,99,97
43,54,65,1,52
0,24,17,89,10
93,59,44,79,21
94,70,70,53,28
83,20,14,26,82
72,48,50,68,33
17,43,68,15,16
83,84,66,7,61
41,47,44,21,49
83,86,23,96,18
94,86,79,43,6
43,41,41,93,87
35,42,54,59,14
72,39,79,34,75
18,100,38,50,33
24,95,67,79,11
77,14,93,35,5
2,48,7,83,89
79,94,21,98,45
67,8,45,25,92
57,15,9,97,89
18,88,10,47,52
25,73,54,52,12
47,52,81,47,28
52,25,79,47,89
45,67,66,49,59
90,68,11,88,43
41,27,74,16,20
57,55,52,39,85
24,25,87,17,67
64,31,67,31,15
33,85,31,36,42
47,32,98,13,76
20,76,47,11,9
20,45,54,22,48
66,52,74,85,99
1,76,91,9,70
42,8,5,39,96
43,49,34,56,82
90,90,83,36,4
55,80,51,89,24
5,34,2,15,64
95,93,14,48,10
36,13,90,10,11
73,26,83,5,57
62,64,42,5,99
39,2,92,73,58
61,12,81,11,46
4,88,45,12,64
1,16,33,59,43
14,17,88,35,100
28,69,93,75,69
45,87,13,66,41
77,24,92,99,61
50,20,12,53,85
44,47,0,31,21
26,12,40,29,14
91,82,4,30,8
4,80,83,42,59
29,85,64,8,41
92,45,51,60,90
83,22,14,44,51
74,69,77,56,79
26,35,59,80,43
4,41,87,20,78
53,79,41,35,7
49,36,24,72,96
34,97,89,1,22
39,25,29,58,52
58,92,76,15,25
25,7,18,33,66
33,29,24,26,22
32,58,8,61,20
6,78,19,0,97
57,50,13,34,78
37,93,30,21,73
3,28,76,36,62
69,87,76,12,56
46,30,39,100,92
88,60,59,67,49
85,63,62,12,12
57,52,32,6,42
79,32,91,76,80
33,97,59,77,28
45,26,33,23,79
75,36,3,48,56
11,75,73,95,35
5,56,12,1,78
65,51,23,60,89
25,15,8,47,99
99,31,42,77,14
82,20,93,93,97
7,68,0,34,66
27,23,18,2,61
90,93,44,48,30
40,73,13,90,29
94,31,69,9,90
24,72,77,98,72
59,33,81,73,51
11,57,17,44,95
97,33,0,1,93
99,56,20,21,21
95,11,83,0,18
62,18,82,21,44
21,24,0,74,15
92,82,86,41,43
2,30,95,69,43
88,71,31,47,55
26,57,7,46,28
64,51,20,99,33
62,67,61,23,80
95,25,69,22,35
10,13,98,92,80
21,0,24,66,90
73,8,1,88,25
44,50,76,46,86
57,1,57,40,24
73,59,22,26,31
86,100,6,6,93
44,60,67,23,29
96,100,26,13,87
42,73,7,42,34
65,22,96,12,32
95,36,63,86,56
92,5,67,18,15
24,19,95,80,68
41,4,40,76,34
37,57,11,67,99
42,44,24,32,64
6,99,19,98,80
44,39,7,20,91
73,6,60,12,0
76,37,43,47,12
81,72,52,56,14
91,57,8,65,15
65,10,58,68,72
9,99,23,55,73
96,4,3,15,92
87,4,98,29,6
66,57,29,33,72
1,20,12,30,53
98,15,52,29,78
82,83,93,28,73
77,27,67,91,99
90,23,90,47,84
61,47,100,98,99
30,26,28,41,58
12,71,37,63,2
79,51,34,63,34
79,99,85,57,40
73,91,9,7,53
13,73,15,13,31
75,33,45,5,40
67,53,97,10,56
65,57,0,36,81
0,75,1,87,54
0,51,19,96,29
28,16,48,92,30
74,48,39,83,17
28,57,69,69,81
37,97,6,28,41
52,77,97,73,99
68,30,4,96,90
51,17,61,82,0
31,24,72,72,77
60,70,96,42,37
75,34,26,65,96
46,55,48,99,3
0,73,0,29,26
78,93,24,15,18
73,38,98,61,0
2,21,40,9,75
15,69,95,0,100
23,73,17,83,11
8,2,78,68,58
69,86,76,72,59
60,82,93,33,68
17,74,18,53,25
7,57,89,64,73
29,13,28,41,87
18,74,9,30,1
72,27,71,34,70
16,62,64,45,4
33,84,88,75,82
48,8,49,7,2
34,71,58,30,91
24,62,60,49,92
46,7,61,81,41
76,71,10,90,14
57,1,25,7,42
34,67,10,13,20
96,42,5,36,1
90,32,18,44,93
92,63,60,87,12
56,78,55,92,58
1,88,3,94,15
12,0,40,64,82
89,60,14,89,39
58,53,5,94,95
28,69,26,93,39
92,99,47,40,24
68,92,10,76,15
42,17,15,92,58
45,79,3,100,6
84,49,30,88,94
47,49,59,98,74
90,86,96,97,66
38,51,59,40,17
10,30,67,19,82
14,64,29,13,97
42,92,57,37,18
58,51,46,2,29
21,98,69,54,79
2,81,16,53,45
45,93,58,53,55
52,0,64,22,0
51,37,81,9,26
2,19,15,94,16
37,97,75,74,38
8,80,47,92,81
74,8,96,79,51
25,92,57,49,52
4,86,96,3,9
52,72,92,81,25
59,6,6,73,13
94,15,36,90,74
66,51,93,68,54
52,28,16,20,99
51,44,60,98,45
63,70,81,87,13
80,94,38,3,86
50,62,21,73,42
100,81,31,42,92
87,97,15,9,33
8,72,43,33,36
8,34,74,84,28
51,67,2,87,53
57,6,38,80,5
88,2,64,41,71
19,53,71,69,37
22,13,66,0,69
55,26,92,80,85
18,7,21,89,7
13,28,74,99,56
95,3,85,68,96
76,65,52,53,81
93,95,58,73,36
68,17,55,54,24
31,59,32,64,59
55,12,66,13,25
45,3,61,94,2
92,89,6,54,73
99,59,81,77,57
27,64,98,94,86
21,91,16,86,49
9,80,99,56,66
58,99,81,60,100
30,22,53,36,18
24,81,14,84,89
52,21,10,60,76
85,72,75,9,11
0,98,9,34,0
0,21,67,14,11
9,81,74,36,36
79,72,24,94,51
8,54,7,92,28
35,5,53,76,42
83,6,29,87,18
100,35,28,95,44
37,33,35,33,100
62,17,95,96,89
35,69,25,44,78
38,70,42,21,92
74,17,12,48,83
64,95,7,86,20
70,86,50,71,9
57,53,95,14,39
74,79,10,10,83
72,98,39,38,52
82,52,82,37,61
12,85,85,67,92
5,49,26,44,31
25,3,70,52,68
89,6,21,12,36
5,58,60,43,92
20,83,12,7,48
51,68,84,46,74
90,25,45,29,6
67,22,66,29,11
5,81,8,13,92
88,53,2,10,35
7,66,18,85,98
87,52,96,17,72
64,25,19,21,58
33,56,89,10,40
69,23,22,3,11
54,79,0,68,26
39,29,89,10,69
92,85,20,87,0
33,18,19,22,24
78,84,91,40,11
32,1,12,45,40
77,66,26,90,15
34,85,23,84,26
49,27,37,81,50
39,58,74,93,82
46,38,15,32,83
56,24,93,34,7
1,28,55,44,54
88,16,64,36,13
22,79,32,35,67
1,5,88,91,69
48,6,70,87,4
33,35,31,100,84
67,41,76,100,75
75,90,10,79,30
50,74,27,68,4
27,29,81,89,43
50,92,27,1,84
75,8,33,39,68
53,51,40,42,9
99,84,94,34,75
39,25,63,36,88
35,28,67,50,35
12,90,59,2,58
26,0,70,94,11
81,40,85,98,4
2,78,47,66,99
55,41,74,12,100
68,79,24,25,60
78,47,42,48,13
0,3,64,79,84
38,89,79,75,3
26,9,28,62,32
43,98,89,57,70
55,23,77,71,53
95,85,33,50,86
9,16,19,55,41
76,47,88,32,16
40,27,14,29,100
15,65,52,48,54
14,23,36,46,98
56,13,85,95,37
11,86,37,95,90
78,42,13,92,28
52,73,88,13,90
16,49,8,100,98
51,99,31,4,40
79,17,29,71,35
69,98,85,27,81
81,52,95,29,87
38,1,53,78,8
63,74,77,51,67
38,80,68,1,99
87,14,73,51,96
93,45,27,58,59
60,74,12,20,66
93,32,41,17,39
54,24,81,53,21
59,73,6,33,31
57,85,14,33,14
95,28,90,79,89
75,36,36,82,7
72,71,28,98,12
81,22,20,67,68
68,65,23,22,3
12,77,0,99,17
77,43,94,2,12
67,55,4,47,47
55,82,96,0,8
27,88,69,40,76
17,74,84,79,77
36,40,45,30,15
1,81,87,52,54
41,99,39,74,66
16,14,55,40,64
21,10,78,62,7
97,35,9,92,52
14,43,26,86,69
43,24,27,74,42
4,35,91,47,78
86,10,83,68,74
39,82,84,7,22
92,23,63,74,87
85,11,61,96,82
76,54,45,52,27
6,89,1,55,69
17,25,91,48,84
0,88,3,11,88
0,22,71,11,58
21,54,35,2,69
48,32,79,62,42
48,100,79,64,2
54,77,37,43,4
70,44,35,56,76
0,91,95,44,30
16,27,67,24,73
56,26,83,98,90
50,58,9,67,98
40,17,41,0,100
44,15,9,80,97
56,13,46,24,10
20,14,73,12,33
27,57,89,18,20
93,20,15,56,32
70,29,73,96,95
59,60,93,66,99
26,41,21,52,66
96,15,80,77,40
39,46,38,73,9
93,29,75,7,61
29,95,65,0,58
90,76,72,88,83
66,48,86,20,14
36,62,6,15,87
46,90,95,54,60
78,50,51,98,73
95,52,48,95,37
29,37,68,44,1
23,39,51,80,81
18,63,95,22,98
43,37,39,28,65
92,31,95,8,11
72,58,60,50,99
10,53,54,30,18
82,59,100,45,9
63,20,16,50,99
43,82,22,95,60
55,56,72,66,2
51,26,79,11,95
12,25,27,5,43
72,54,45,51,37
91,85,25,48,95
59,47,79,11,0
8,40,9,81,87
86,99,54,7,47
40,35,77,65,33
62,1,45,50,39
56,59,92,39,51
16,46,47,53,10
3,96,67,24,61
59,48,58,35,8
99,70,46,44,89
59,8,64,57,53
64,98,61,57,77
81,4,32,23,92
77,29,81,89,84
74,49,19,21,46
30,81,41,63,72
23,83,14,58,8
95,44,44,100,95
32,70,33,16,36
17,8,57,84,61
88,14,48,11,50
2,58,96,48,22
14,20,46,18,93
88,23,95,30,64
60,17,94,13,72
90,59,49,49,68
78,29,57,95,40
30,47,74,47,31
60,58,74,62,97
21,18,18,67,84
42,86,5,17,21
10,86,34,23,97
97,30,57,22,6
8,42,9,69,25
7,41,5,72,53
3,12,8,60,88
48,19,42,88,64
38,26,89,81,93
37,91,48,24,91
9,81,78,76,94
91,54,45,36,63
7,47,94,45,32
98,77,35,12,8
71,71,60,87,67
25,79,3,16,64
67,17,48,31,18
49,81,12,9,88
9,76,91,4,21
76,18,99,41,87
60,80,98,77,57
56,1,0,39,57
18,81,58,45,53
52,47,30,13,88
37,47,12,6,95
53,2,93,83,1
17,47,95,38,59
44,69,84,34,70
48,59,41,39,34
83,7,48,48,85
69,88,92,24,88
20,62,52,87,5
17,7,60,0,36
25,34,34,26,73
30,31,84,38,23
35,77,46,76,57
24,9,15,83,95
14,84,5,87,10
94,23,49,50,98
97,68,65,50,82
97,59,90,57,22
24,8,31,88,92
47,59,85,73,24
28,64,49,98,27
73,85,86,71,25
49,41,59,41,9
31,21,56,57,45
95,17,10,56,35
96,46,21,17,72
31,46,48,73,0
84,27,6,14,65
54,11,21,64,41
76,26,21,69,96
72,99,86,94,42
11,47,73,57,26
77,89,89,67,13
17,13,98,47,80
53,65,40,58,48
29,2,95,68,91
3,34,82,5,83
79,75,26,43,41
96,94,62,54,100
75,91,35,56,89
1,42,53,39,97
93,60,27,65,25
78,22,5,37,81
99,73,29,25,49
29,74,9,41,11
22,4,83,92,80
97,52,20,20,34
48,96,13,44,40
64,98,88,17,78
95,75,29,70,63
2,67,22,69,84
0,83,4,15,71
33,83,20,22,4
68,94,79,99,94
54,98,66,10,15
92,90,29,42,54
82,11,18,81,37
85,83,71,6,98
85,22,89,1,2
57,13,95,97,49
12,7,87,76,11
50,23,60,94,45
32,44,23,98,46
44,73,82,1,87
40,58,1,95,16
18,5,78,7,24
38,23,67,56,73
12,82,65,24,53
19,98,49,42,87
33,53,49,90,19
82,64,77,53,54
58,28,93,39,53
10,61,34,95,11
74,98,68,88,89
36,53,19,25,99
89,91,14,49,63
93,70,93,92,34
46,91,63,18,96
74,16,74,77,84
41,72,79,67,47
29,72,97,2,81
94,72,18,33,77
80,20,24,90,88
41,68,81,36,39
57,96,23,91,29
23,88,19,21,95
2,51,99,98,7
48,56,73,81,32
93,81,16,67,32
10,17,13,86,20
93,40,93,4,73
28,80,55,35,63
28,93,74,33,58
29,65,38,96,86
72,17,33,95,98
41,49,19,36,16
9,5,15,91,46
4,8,86,48,38
37,27,76,59,68
7,9,94,5,37
60,27,46,86,62
47,94,44,26,1
8,50,61,90,38
85,55,35,87,70
91,94,10,38,36
14,22,83,55,97
25,42,48,72,95
54,74,95,84,62
48,49,8,79,9
12,58,54,16,20
70,19,64,29,2
38,84,94,8,75
35,99,24,76,92
45,24,84,59,17
62,53,28,59,67
96,18,82,12,9
57,46,82,40,70
92,4,24,56,37
19,19,1,100,79
65,3,75,60,56
32,15,66,17,86
44,87,32,87,14
77,82,77,37,79
71,83,66,43,75
62,95,85,58,65
71,9,35,27,44
95,73,52,59,72
92,9,37,69,79
94,74,63,51,50
75,54,85,46,36
90,77,93,35,7
28,32,64,78,62
73,37,98,34,41
67,93,71,13,18
34,49,12,85,88
89,25,36,4,16
64,84,30,89,42
51,70,40,88,97
71,0,68,42,4
69,9,53,78,55
44,97,77,50,44
65,7,5,7,44
35,1,97,11,48
92,88,76,15,4
60,92,49,12,9
54,14,68,58,54
57,30,77,93,96
2,74,26,82,32
21,19,4,9,50
46,34,57,10,50
67,11,47,89,68
44,59,50,25,58
78,54,66,31,83
78,61,23,97,52
24,100,40,31,82
11,51,57,86,95
40,61,51,76,15
37,51,32,90,21
32,7,6,65,66
43,1,68,97,91
44,58,18,73,24
56,49,90,47,88
58,22,40,12,79
26,92,6,23,23
74,11,44,49,37
75,41,79,46,32
80,17,92,68,21
68,35,80,32,93
80,35,26,17,25
70,95,19,94,32
65,93,15,87,73
13,26,54,71,30
72,94,44,34,48
14,78,8,49,47
70,29,56,90,14
48,10,37,79,35
26,41,42,65,18
61,37,33,51,14
76,32,9,96,35
79,45,66,64,26
8,12,64,15,24
92,92,28,73,99
75,62,2,18,99
14,47,14,38,87
64,94,51,58,11
62,59,70,24,53
2,10,93,20,97
39,90,84,16,2
50,44,33,63,47
34,75,52,96,0
62,31,34,59,18
47,4,73,96,98
67,35,76,36,80
25,34,18,32,62
38,56,37,60,26
60,68,48,21,22
44,25,26,91,34
95,81,27,29,59
19,9,64,67,74
2,29,3,31,74
18,18,27,46,30
42,12,21,32,54
67,23,52,82,72
56,23,39,32,81
34,95,8,15,2
74,38,14,61,88
100,58,73,63,27
4,40,39,19,73
50,89,59,23,93
55,88,99,100,18
26,96,12,44,1
47,31,31,97,91
79,23,75,37,72
56,64,19,70,36
53,59,96,74,1
67,56,40,5,79
39,26,68,31,38
98,17,17,8,62
43,8,41,78,69
62,57,12,2,63
70,32,37,62,60
69,37,27,46,21
9,38,84,29,51
46,33,87,87,70
9,53,10,34,99
60,15,12,62,94
55,82,87,69,5
41,32,10,36,9
87,67,85,76,25
47,24,22,81,72
43,43,97,41,19
8,94,83,35,81
65,39,5,20,38
57,82,18,54,42
17,74,32,72,34
55,66,27,5,35
63,42,82,93,46
23,76,90,94,57
96,55,60,99,33
59,87,44,9,31
4,78,93,8,26
14,18,74,12,85
14,41,42,88,38
89,75,79,93,22
40,6,61,6,64
69,35,87,44,52
99,46,78,31,28
98,46,77,81,65
81,42,69,8,11
50,89,64,11,85
3,20,57,38,43
5,80,93,45,33
12,11,7,41,35
98,21,30,54,6
40,62,0,86,80
8,2,40,2,20
5,75,50,54,82
2,92,48,71,88
49,61,25,76,88
11,30,82,97,81
9,85,18,7,1
37,90,34,87,61
28,75,23,53,52
87,12,31,88,22
91,5,65,53,81
50,52,41,88,82
81,4,11,53,8
96,99,18,91,4
86,4,82,65,83
14,37,25,99,89
95,57,77,28,37
50,41,58,52,32
36,54,26,41,44
56,46,19,30,58
44,56,76,8,59
2,77,87,12,33
93,89,20,12,34
51,33,33,28,37
71,10,9,80,81
61,93,61,35,61
70,73,73,76,97
56,94,65,20,37
83,12,15,23,58
87,99,98,30,63
48,94,90,53,78
54,4,19,79,37
9,71,16,86,65
67,49,69,6,72
19,7,61,82,83
64,65,58,37,10
86,97,33,58,77
23,66,52,42,59
14,51,21,31,53
80,5,31,30,59
92,5,12,46,10
100,89,64,38,96
78,54,19,39,68
3,63,31,72,28
56,69,36,9,53
6,57,85,54,42
42,48,45,72,92
67,83,30,84,80
75,28,39,8,90
4,34,63,4,36
85,34,59,31,8
74,8,57,71,25
56,43,53,3,78
20,18,31,22,52
63,41,46,19,37
34,58,39,61,1
86,19,100,4,95
22,49,96,10,96
57,43,27,86,76
67,13,82,7,43
6,39,18,49,81
60,47,10,74,92
77,51,12,32,36
0,51,58,26,0
90,16,95,53,2
86,68,11,15,20
17,34,0,6,66
68,10,35,53,24
63,59,82,93,94
12,72,26,7,81
24,59,43,33,64
34,74,42,60,99
44,14,69,100,98
75,22,57,26,55
23,10,57,22,82
41,24,92,32,29
13,89,87,18,45
75,92,60,37,11
54,83,2,88,16
88,2,41,60,47
12,100,55,35,94
43,85,61,21,34
18,64,88,45,43
46,92,41,44,68
16,19,71,88,26
10,30,62,40,67
16,48,39,20,99
94,63,49,8,51
98,82,80,1,88
84,94,39,66,48
49,92,98,62,100
15,56,58,45,30
5,73,35,61,2
91,69,34,25,93
60,8,4,12,25
56,88,31,24,48
30,2,62,5,97
88,17,16,31,53
76,4,51,39,15
49,43,94,22,9
52,15,91,7,87
21,17,96,54,35
80,42,67,72,85
59,61,78,46,91
74,82,71,83,45
27,28,2,6,47
74,31,2,31,85
72,16,16,4,69
21,15,92,28,29
17,59,81,4,57
55,39,34,76,83
26,47,18,31,19
71,22,95,32,87
62,14,8,98,24
69,71,92,97,71
33,14,95,29,15
90,48,9,20,2
79,2,99,89,34
22,94,17,74,82
28,94,53,81,75
78,40,26,54,68
64,43,49,35,56
82,61,85,22,46
88,20,31,87,72
80,49,97,21,76
34,95,82,28,29
51,24,18,10,32
55,24,62,53,1
22,29,44,95,94
98,44,9,73,85
79,7,63,72,96
38,12,38,18,13
5,28,18,33,95
66,62,35,83,37
40,41,86,82,50
86,85,6,6,36
85,90,34,4,91
19,92,55,77,90
74,45,97,23,30
86,18,74,42,1
70,70,86,63,95
4,81,52,22,51
6,15,70,3,57
89,51,21,14,88
90,42,77,11,28
2,52,66,89,77
95,82,70,27,52
95,26,40,44,24
43,18,81,79,22
77,8,77,93,25
100,69,30,22,65
82,96,2,40,79
67,19,70,75,33
84,44,69,79,3
25,24,47,18,28
64,75,29,70,52
72,16,68,22,20
13,40,5,58,25
63,63,64,45,94
93,70,95,51,63
55,86,68,54,79
73,13,32,95,3
2,65,91,18,31
37,32,99,41,66
20,12,99,27,96
75,19,14,85,5
100,82,41,27,66
2,18,28,99,81
85,64,34,51,95
74,72,15,27,83
67,86,61,69,61
34,28,72,3,2
29,95,15,48,95
50,60,76,62,64
73,7,75,40,44
100,18,49,58,25
19,25,1,29,58
42,26,45,15,89
57,33,2,64,15
67,74,54,38,42
28,85,98,63,91
3,64,60,77,99
1,26,22,25,2
60,27,21,2,62
60,23,58,100,91
80,58,11,53,64
9,91,63,71,66
33,19,83,1,49
4,18,55,15,13
88,1,31,36,73
0,5,87,57,49
67,88,12,100,76
80,76,67,58,57
29,42,40,99,52
68,51,50,45,94
79,68,18,63,31
70,47,90,80,46
46,41,41,69,70
12,73,22,37,63
2,44,18,48,38
25,0,56,17,81
20,21,80,31,15
38,62,88,87,8
11,99,83,47,11
67,54,87,57,86
49,91,49,34,0
97,4,73,98,50
76,20,88,5,39
69,9,66,25,100
32,10,97,92,91
94,85,42,7,73
92,50,97,31,85
87,63,71,32,86
97,98,62,94,82
79,87,77,97,54
51,59,70,30,71
65,56,17,79,13
44,65,66,54,34
62,73,6,20,10
34,84,34,26,97
33,96,36,54,16
79,45,39,72,30
48,19,69,75,3
48,90,4,15,72
37,65,18,17,33
92,50,7,45,77
56,89,37,15,46
24,52,54,63,36
82,97,85,82,34
39,38,10,15,56
20,25,85,45,94
67,94,65,25,12
100,23,73,67,63
19,79,26,38,86
84,61,40,42,51
75,67,16,44,57
39,14,39,16,65
97,12,95,91,93
44,60,17,20,68
91,98,14,54,59
82,47,79,61,56
23,20,40,81,83
52,84,2,33,32
91,43,68,4,75
62,3,95,39,83
57,30,52,21,44
30,52,42,73,98
27,26,58,52,45
40,32,62,70,91
76,95,63,29,62
87,47,54,51,90
8,25,90,56,77
11,99,61,43,55
82,7,79,40,77
97,16,27,79,13
9,83,23,28,10
4,32,12,47,75
33,10,9,74,25
93,15,36,81,28
64,17,84,32,90
55,34,50,72,86
16,97,76,67,75
42,11,54,74,76
36,11,55,24,62
61,13,58,32,37
9,28,88,45,3
38,14,27,13,41
41,56,53,64,50
48,36,96,98,27
56,86,72,8,0
68,25,40,78,4
53,20,72,24,99
6,47,28,18,37
74,54,15,38,57
70,95,55,1,10
85,33,14,98,33
6,91,12,76,80
83,48,13,31,11
76,34,23,33,13
8,23,82,48,76
74,83,30,12,98
33,59,99,19,91
43,23,10,34,67
44,65,37,65,48
69,47,43,56,12
21,67,68,98,83
58,84,76,16,20
24,76,23,64,47
89,35,19,71,18
45,36,7,92,64
98,96,42,55,53
12,81,29,92,72
71,28,16,83,38
54,42,25,97,39
70,25,12,60,9
69,46,75,63,29
85,65,35,76,13
85,81,28,81,96
75,80,93,70,38
74,45,40,69,26
6,61,60,70,61
22,68,30,87,10
66,27,91,25,55
32,19,7,96,85
42,48,4,73,22
52,95,9,14,26
2,59,11,28,47
70,99,64,70,15
55,54,63,28,74
30,51,59,99,49
9,71,4,85,47
30,9,86,1,52
47,73,71,20,66
50,56,31,96,50
2,52,50,20,34
92,100,44,97,22
18,97,68,8,27
92,88,25,75,81
37,87,37,57,3
18,56,66,3,17
